fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,645615,273.683867634661,43,200,699.031244396,69,0,5876,1069147,80666,4329,7620,484,108.42106,3733.53516469595,24468,33065,31780,50884,88,37033,57279,5945,2926.08286029995,789127,53,4.57,98.31,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,275.952658998576,34,1563,3123.527469582,1577,0,24913,2626297,968939,72382,56677,3335,211.39513,10582.2590042818,76202,97621,126073,201298,227,170152,262436,26490,7247.33640469983,1481530,45,44.87,89.69,100,NA
2025-2026,June,02,ANDHRA PRADESH,0208,PRAKASAM,5555687,249.246604937055,30,3629,4365.783406266,237,3,54055,8259894,1790608,200417,235368,22338,587.43933,25540.7281026655,273915,470537,378267,729878,135,457670,849539,54292,20587.5053663995,4649681,32,26.98,90.64,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,279.381333607985,34,2775,5210.568025269,371,1,57718,5187094,847918,95524,199161,17915,653.74633,20356.0867479688,150804,254184,258201,488011,545,325794,607370,58089,14491.7723926998,2885573,48,46.71,91.44,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0220,PALNADU,2658390,272.820292299251,26,1945,4212.854114658,453,4,45823,4853177,1002644,123217,453013,45175,286.82554,17740.131331858,183675,308685,273475,493000,526,353403,610842,46276,13240.4516772,2582476,24,81.74,93.51,100,NA
2025-2026,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,9980844,211.233914768564,35,6246,2401.544127283,721,2,52100,9888582,1088699,73322,239269,17806,367.98067,23657.5636709825,274874,391162,345978,634501,116,389242,695384,52821,20888.0388736995,7031368,43,6.63,92.25,100,NA
2025-2026,June,02,ANDHRA PRADESH,0206,KRISHNA,2688002,277.767595199113,35,1939,3481.86570896,177,0,50399,4850938,1805835,122430,69852,5818,406.18651,17362.38604616,136487,232730,182409,336870,2097,223552,396020,50576,13474.3338272,2613016,18,85.97,92.87,100,NA
2025-2026,June,02,ANDHRA PRADESH,0207,GUNTUR,1342631,253.205710182846,26,455,1398.49183482,116,22,24383,1443938,587952,70799,40694,5689,201.33106,5255.95636231998,54935,86906,90812,159250,56,138083,231713,24499,3656.13346749998,832537,33,94.09,96.05,100,NA
2025-2026,June,02,ANDHRA PRADESH,0210,CHITTOOR,2534785,272.372333971067,26,874,6058.834133348,1323,0,55335,2104332,597336,110341,66012,13525,545.17579,12335.628106248,80025,115587,209284,387698,99,276094,495464,56658,5731.61818290003,1317252,62,61.63,83.31,100,NA
2025-2026,June,02,ANDHRA PRADESH,0213,KURNOOL,3120869,268.632101010353,25,1983,1586.334275993,360,4,55310,4199708,789540,108965,78238,7872,485.63695,13353.7350626929,162701,275552,266915,525567,82,346130,661115,55670,11281.7638366999,2312677,38,73.74,93.7,100,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,276.772687277033,29,2108,4393.980673127,294,4,44564,3176751,429459,65031,176055,25151,338.8932,13525.252983927,107584,182108,214488,408539,157,284136,527546,44858,8792.37911080002,1719674,57,41.77,86.75,100,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,282.462815880075,26,1522,5602.28327369599,1946,9,41690,3001321,1179179,150018,225415,32170,329.01858,14408.917663896,112789,156758,217504,388798,328,275016,475643,43636,8477.61581020001,1972952,43,28.72,95.24,100,NA
2025-2026,June,02,ANDHRA PRADESH,0226,KAKINADA,3329831,281.538042026558,26,2691,6729.37405542599,1613,1,32664,3539619,1000283,93036,66453,8713,252.49893,16947.247013226,134203,183099,205413,352190,23,296849,486530,34277,9965.37402780004,1842526,45,51.96,85.79,100,NA
2025-2026,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,9980844,211.528286793341,35,6242,1317.89125841,709,2,52034,9860696,1084662,73321,239012,17806,367.80067,22543.8532431095,274804,390966,345977,634494,97,389243,695378,52743,20858.1613146995,7012290,43,6.63,92.24,100,NA
2025-2026,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,645615,271.407571431101,41,200,73.121337157,69,0,5861,1017204,76110,4327,7379,484,103.73904,2937.62905005702,24353,32827,31770,50863,48,37015,57251,5930,2760.76867290002,751362,53,4.74,98.58,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,276.884546956168,33,1546,763.325517009,1577,0,24783,2513631,927715,72372,55239,3335,201.87237,7925.05369350879,75646,96767,126005,201195,159,170087,262336,26360,6959.85580649979,1420855,45,44.68,89.61,100,NA
2025-2026,June,02,ANDHRA PRADESH,0206,KRISHNA,2688002,282.318767983592,35,1935,953.929866365001,174,0,50276,4767818,1772438,122422,68883,5818,369.41629,14783.7911936649,136108,231973,182364,336795,1806,223548,396012,50450,13460.4450372999,2567483,19,85.77,92.77,100,NA
2025-2026,June,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7123542,289.690166607531,37,3892,1604.435118382,260,1,84043,6868645,126748,9921,6337940,420591,388.23209,21890.4563525618,184325,318667,233647,459399,4062,257611,494669,84303,19897.7891441798,3596142,84,68.83,82.34,100,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,280.701267756991,36,3104,717.903631098,427,6,43649,6739107,499403,35019,201406,16945,168.13925,19802.8016655982,186972,260921,238277,393022,184,292901,463262,44076,18916.7587845002,4663011,55,19.57,93.44,100,NA
2025-2026,June,02,ANDHRA PRADESH,0221,NANDYAL,3030717,263.756301666703,29,1588,987.729025211,723,1,50290,4271489,1165689,113354,192680,14067,366.55527,12620.605707711,146337,240790,214304,414768,170,274983,515967,51013,11266.3214125,2543268,35,74.08,96.53,100,NA
2025-2026,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,645615,271.407571431102,41,200,73.121337157,69,0,5865,1017204,76110,4327,7379,484,103.73904,2937.62905005703,24353,32827,31770,50866,48,37017,57256,5934,2760.76867290003,751362,53,4.74,98.58,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,276.885297644348,33,1546,763.325517009,1577,0,24794,2514259,928082,72372,55292,3335,201.87237,7926.81140270882,75650,96771,126004,201195,159,170086,262338,26371,6961.61351569982,1421263,45,44.69,89.62,100,NA
2025-2026,June,02,ANDHRA PRADESH,0205,WEST GODAVARI,1916002,283.654758491728,28,1139,850.040801738999,1304,0,29456,2545565,726327,64580,19939,1903,181.75038,8252.40743473895,89227,125723,137402,237456,271,187453,309126,30760,7220.61625299995,1463374,36,87.59,91.03,100,NA
2025-2026,June,02,ANDHRA PRADESH,0213,KURNOOL,3120869,269.633379172839,25,1980,1104.506687037,360,4,55249,4183000,786721,108959,78058,7872,485.32871,12868.5996478368,162599,275358,266891,525517,77,346110,661072,55609,11278.7642507998,2303725,38,73.81,93.78,100,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,281.275139939247,36,3106,717.903631098,427,6,43714,6746249,500149,35021,201413,16942,168.13925,19861.5641964981,187002,260971,238277,393026,186,292908,463275,44141,18975.5213154001,4668024,55,19.57,93.44,100,NA
2025-2026,June,02,ANDHRA PRADESH,0216,KONASEEMA,2403770,298.056804416593,33,2311,1924.293693915,1660,0,28856,3718163,1828573,117971,32790,2382,240.06512,13246.5966347151,112461,155056,153983,256011,216,236869,366692,30516,11082.2378208001,2397916,33,89.3,93.21,100,NA
2025-2026,June,02,ANDHRA PRADESH,0219,BAPATLA,3352963,278.836408905264,26,1862,2606.569445021,1765,1,47918,4076108,1341386,140046,152622,15307,211.741,14183.9836153212,152204,257768,215034,400589,226,274918,486595,49683,11365.6731703002,2195101,19,78.09,93.44,100,NA
2025-2026,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2292156,276.118308025489,32,1541,763.325517009,1575,0,24743,2484210,917083,72365,54265,3336,201.72163,7824.40576680899,75420,96406,125991,201173,156,170074,262316,26318,6859.35861979999,1403690,45,44.87,89.71,100,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,278.627551046835,35,3100,711.713157998,427,6,43612,6711190,496731,35020,200075,16937,162.3885,19573.3260010981,186857,260699,238268,393005,183,292886,463238,44039,18699.2243431001,4644356,55,19.6,93.42,100,NA
2025-2026,June,02,ANDHRA PRADESH,0217,ELURU,5432674,279.229604968484,33,2931,877.091409677,779,4,47550,7407333,2464809,205436,761329,54038,208.45778,21769.0158642772,221247,351520,319741,596932,896,383511,693663,48329,20683.4666746002,4325748,39,38.78,93.68,100,NA
2025-2026,June,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7123542,289.389960334083,39,3969,5021.518076941,261,1,84998,7436914,139716,9926,6850170,420755,414.25794,26957.4584916209,187451,324662,233791,459603,6078,257671,494716,85259,21521.6824746799,3898603,84,68.54,82.31,100,NA
2025-2026,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,5156588,282.061586284785,38,3141,3002.826643231,447,4,44107,7264282,537535,35043,222908,16955,198.93848,23691.5141646311,188491,263919,238507,393367,459,293002,463478,44554,20489.7490414001,5026315,55,19.76,93.52,100,NA
2025-2026,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2851954,277.888603663897,31,2171,5070.899458793,423,3,44785,3469530,466206,65039,194516,25170,345.21086,15057.538789493,111275,188911,214903,409307,244,284272,527824,45208,9641.42847070002,1876924,57,41.6,87.53,100,NA
2025-2026,June,02,ANDHRA PRADESH,0224,TIRUPATI,3023081,282.954390920855,28,1564,5894.734288592,2191,9,41646,3246253,1272314,150115,241359,32195,333.09648,15413.246172492,115570,161289,217657,389104,560,275121,475891,43837,9185.41540389997,2133946,43,28.24,95.36,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,234.997725978348,41,5871,9191.773596412,936,0,63831,12780472,1101454,60004,719103,40166,820.59975,40046.1919157115,310872,435758,380697,672782,1347,444179,757400,64767,30033.8185692995,9176828,48,22.17,94.97,100,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,288.379069513178,39,3970,5022.133326941,261,1,85351,7484106,140874,9926,6894676,420870,414.71016,27019.4387311209,187584,324970,233873,459746,6279,257695,494761,85612,21582.5952441799,3923756,84,68.53,82.33,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.284684060713,35,2979,4304.533711549,792,4,48089,8109327,2685850,205627,860799,54118,272.99614,27225.6381429491,225494,359501,320125,597635,1380,383850,694337,48881,22648.1082914001,4740315,39,38.51,93.74,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,277.005653008771,26,1965,4406.15392047,457,4,46270,4976120,1028095,123290,464737,45242,288.19054,18478.4781609701,185192,311308,273808,493674,567,353659,611359,46727,13784.1337005001,2649894,24,81.93,93.5,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.301446950841,28,2725,8487.90610011199,1822,0,32779,3821823,1080055,93113,72242,8725,252.80041,19491.549909012,136373,186587,205791,352804,81,296978,486763,34601,10750.8433989,1979050,44,52.32,86.51,100,NA
2025-2026,June,02,ANDHRA PRADESH,0217,ELURU,5432674,278.751844330305,35,2959,4302.685557049,792,4,47902,7900266,2617177,205552,824187,54055,272.24364,26597.066379049,224109,356885,319996,597374,1220,383680,693986,48694,22022.137182,4616178,39,38.72,93.7,100,NA
2025-2026,June,02,ANDHRA PRADESH,0220,PALNADU,2658390,278.108763143441,26,1956,4212.854114658,453,4,45840,4906535,1014561,123260,459780,45223,286.82554,18145.1834563581,184459,310055,273641,493320,529,353468,610978,46293,13645.5038017001,2611823,24,81.83,93.56,100,NA
2025-2026,June,02,ANDHRA PRADESH,0221,NANDYAL,3030717,260.605806673355,30,1609,3415.428724429,727,1,50619,4498128,1225413,113416,202441,14081,369.32971,15507.1411940291,147630,243277,214529,415210,253,275092,516206,51346,11722.3827596001,2684687,35,73.8,96.28,100,NA
2025-2026,June,02,ANDHRA PRADESH,0223,ANNAMAYYA,2891184,270.671289934087,32,1043,2723.176329586,219,2,45277,3580431,685500,68044,135282,12883,351.08856,12765.4636624859,108508,158870,201322,349803,237,255533,432463,45496,9691.19877289994,2093125,55,63.8,90,100,NA
2025-2026,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5565519,260.989417337884,45,3586,4427.53265389301,321,0,59801,7644190,889692,45536,2871116,140012,295.47694,24673.5365350938,168689,277495,195065,378293,4071,217329,410886,60122,19950.5269412008,4561745,77,41.96,92.19,100,NA
2025-2026,June,02,ANDHRA PRADESH,0226,KAKINADA,3329831,280.471708851167,27,2716,8325.92933699899,1653,0,32771,3760070,1064011,93099,71438,8722,252.64967,19124.511589999,135981,185924,205728,352693,75,296911,486645,34424,10545.9325830001,1949278,45,52.15,86.48,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,235.329761711138,41,5881,9191.773596412,991,0,63978,12964643,1118377,60010,734220,40173,821.0114,40522.4484750117,311435,436835,380766,672884,1645,444182,757405,64969,30509.6634785997,9316597,48,22.26,95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,248.723376994258,31,3675,6296.131618766,245,3,54513,8692745,1892614,200605,249797,22349,589.77979,28506.8003262655,277395,476798,378641,730548,335,457711,849634,54758,21620.8889174995,4903111,32,27.15,90.81,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,275.775775567456,35,2800,5353.403605395,407,1,58104,5366245,875684,95590,206170,17955,664.02277,20816.2301429949,152283,256948,258421,488472,680,326123,608062,58511,14798.8037675999,2986406,48,47.01,91.59,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,275.240554678479,27,1972,4421.32152987,457,4,46311,5105967,1053329,123379,473056,45289,288.19054,18763.2039623701,186564,313779,274164,494264,671,353683,611401,46768,14053.6918925001,2719754,24,82.08,93.65,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,260.879014322803,46,3589,4436.26445899301,322,0,60306,7797502,906058,45565,2953872,140087,295.47694,25073.7877583938,169063,278472,195139,378438,4483,217379,410993,60628,20342.0463594008,4651430,77,42.37,92.21,100,NA
2025-2026,June,02,ANDHRA PRADESH,0201,SRIKAKULAM,10055522,235.495395992452,40,5865,9191.511725092,882,0,63466,12641958,1091971,60004,706831,40157,820.31633,39783.0571083915,310511,435063,380635,672675,1184,444165,757360,64348,29771.2290532995,9071528,48,22.07,95.03,100,NA
2025-2026,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,645615,271.413450140776,44,202,701.521116326,69,0,5885,1089628,81571,4332,7684,484,111.21661,3770.13467482594,24566,33234,31801,50918,101,37030,57284,5954,2957.39694849994,804516,53,4.65,98.27,100,NA
2025-2026,June,02,ANDHRA PRADESH,0212,ANANTAPUR,4499572,280.639667287792,34,2776,5346.564699295,400,1,57758,5205039,851505,95537,200397,17919,661.10583,20615.0746610948,151035,254621,258220,488071,545,325974,607746,58158,14607.4041317998,2895328,48,46.74,91.43,100.01,NA
2025-2026,June,02,ANDHRA PRADESH,0216,KONASEEMA,2403770,297.992599134183,35,2334,3555.556123016,1660,0,29062,3983515,1952315,118086,34989,2384,244.06163,15670.1976384161,113498,156704,154185,256345,416,236950,366818,30722,11870.5798854001,2561773,33,89.45,93.45,100,NA
2025-2026,June,02,ANDHRA PRADESH,0218,NTR,1791304,293.431343524588,27,1736,4023.711595381,9,2,31924,3367136,1213018,124458,265418,24222,127.79268,14031.7366784811,122151,196393,178611,331455,168,217373,393582,31933,9880.23240310007,2043232,30,76.86,93.57,100,NA
2025-2026,June,02,ANDHRA PRADESH,0226,KAKINADA,3329831,280.747872930813,27,2723,8357.97877609899,1653,0,32800,3785119,1069846,93101,71768,8725,252.80041,19237.420266499,136197,186280,205763,352753,77,296934,486685,34453,10626.6410804001,1959735,45,52.13,86.43,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,280.816420138406,37,1968,4092.948975715,177,0,50717,5221565,1929095,122456,75355,5824,407.80442,19163.765303915,137996,235625,182567,337126,3018,223611,396107,50894,14663.0119082,2809398,19,86.47,93.12,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,233.70023380138,28,1457,4971.458473571,385,4,60568,4395312,1154730,138890,183287,30004,490.20624,15733.5191338711,154933,219891,273074,479981,242,361898,615302,60953,10271.8544203001,2773506,38,44.68,82.72,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,276.208518147509,28,1908,2841.479829016,1871,1,48461,4581097,1510693,140240,171301,15369,212.78666,15707.646627616,158297,269002,215708,401743,419,275125,486994,50332,12653.3801386,2469980,19,79,93.97,100,NA
2025-2026,July,02,ANDHRA PRADESH,0224,TIRUPATI,3786749,282.447679935411,29,1600,5894.734288592,2391,9,41721,3505230,1370746,150228,259902,32251,333.09648,16128.271579992,118411,165937,217831,389476,748,275143,476013,44112,9900.4408114,2304056,43,27.86,95.57,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,235.862539885254,42,5898,9223.409066264,1011,0,64859,13160063,1134409,60016,749625,40173,821.7819,41084.8498085636,312301,438489,380957,673247,1882,444275,757624,65870,31039.6588422996,9460209,48,22.35,94.39,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,273.413762385161,46,205,701.679766326,69,0,5906,1145122,85923,4346,7912,486,113.11871,3945.71962042621,24832,33640,31822,50958,149,37032,57289,5975,3130.92114410021,846577,53,4.96,97.86,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,282.763546915091,31,1165,1467.147035824,1322,0,29772,2852600,811330,64667,22486,1907,239.12742,9772.38739512388,90700,128034,137592,237827,661,187692,309571,31094,8066.11293929988,1633067,36,87.69,91.17,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,280.382898185921,37,1968,4095.564441115,179,0,50834,5241672,1933181,122458,75649,5824,407.80442,19200.1207281149,138051,235733,182577,337140,3137,223635,396146,51013,14696.7518669999,2819773,19,86.39,93,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,253.166063633671,29,467,1623.37353932,117,21,24672,1633852,666681,70893,46323,5693,225.63304,5985.36537332001,56112,89032,90992,159556,147,138226,231946,24789,4136.35879400001,945062,33,94.61,96.44,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,271.294969713815,42,1903,4338.2856947,276,4,46903,5508287,1027488,78647,68846,5398,645.53661,19927.5278531,130998,205174,188708,354482,2113,247325,456053,47179,14943.7055484,3535383,36,39.86,96.46,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,278.51897939296,36,2834,5861.609638454,409,1,58467,5581296,905909,95643,215598,17972,664.92287,22071.5011645541,154066,260193,258653,488965,1092,326408,608691,58876,15544.9686561001,3106324,48,46.86,90.95,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,267.518925949474,27,2013,3615.443463829,391,4,55617,4534107,847471,109030,86245,7888,501.3384,16246.3762116289,164827,279676,267254,526330,195,346451,661905,56008,12129.5943477999,2493045,37,73.91,93.63,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.288184054965,37,3006,4312.102564118,803,4,48333,8427722,2784910,205669,904204,54162,274.54986,28124.2841551188,227518,363242,320291,597937,1797,384029,694641,49136,23537.6317310008,4926187,39,38.67,93.83,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,275.335447604986,29,1910,2841.619129016,1920,1,48609,4625049,1518899,140246,173115,15374,212.78666,15788.805155116,158807,269938,215746,401829,465,275207,487150,50529,12734.3993661,2493838,19,79.1,93.96,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,273.711643515883,46,205,701.679766326,69,0,5932,1151580,86407,4348,7923,486,113.11871,3966.80702072621,24871,33705,31828,50967,160,37032,57289,6001,3152.00854440021,851623,53,4.98,97.85,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,251.631551973259,29,467,1623.37353932,117,21,24692,1665164,680458,70904,47332,5697,225.63304,6039.08459542001,56245,89258,91022,159599,164,138238,231964,24809,4190.07801610001,963894,33,94.68,96.5,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,249.592039205941,32,3714,6509.911694266,305,3,54992,9201513,2006878,200681,265841,22394,589.77979,30065.9354187658,281365,483875,379028,731217,533,457718,849644,55297,22966.2439344998,5203798,32,27.13,89.67,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,233.184507816554,29,1479,5037.158607355,415,4,61102,4718129,1239850,139002,194978,30047,490.20624,16529.3107341551,157577,224283,273294,480403,460,361978,615473,61517,11001.9458868001,2978649,38,45.05,83.24,100,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,267.137650461187,27,2017,3615.443463829,391,4,55663,4593344,858092,109059,86917,7890,501.3384,16387.3331030289,165272,280486,267316,526462,249,346514,662047,56054,12270.5512391999,2526373,37,74.04,93.57,100,NA
2025-2026,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,5660945,281.881543922058,40,3163,4665.427917115,556,3,44585,7643676,565713,35050,237945,16972,208.70258,26420.2424183148,189776,266435,238705,393660,788,293175,463737,45141,21546.1119211998,5287473,55,20.02,93.38,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,296.172493401184,37,2368,3637.033804796,1664,0,29597,4286755,2093065,118146,37378,2386,244.15913,16577.3821042959,114510,158267,154308,256548,836,237109,367043,31261,12696.1891694999,2760087,33,89.36,93.41,100,NA
2025-2026,July,02,ANDHRA PRADESH,0218,NTR,2266753,293.035234705108,28,1744,4023.711595381,21,2,32342,3439252,1232401,124487,270277,24233,177.40381,14279.3355756811,122733,197522,178669,331587,253,217484,393798,32363,10078.2201703001,2086390,30,76.91,93.45,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,212.711031002817,37,6284,5497.731438549,885,1,52463,10415859,1149266,73324,254701,17808,405.35951,28058.7720152487,276132,394336,346023,634581,432,389188,695310,53348,22155.6810666997,7407339,44,7.15,92.29,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,283.17633690594,30,1155,1439.578245824,1322,0,29663,2802153,797066,64649,22040,1907,239.12742,9613.7398857239,90474,127690,137571,237749,582,187603,309381,30985,7935.0342198999,1604915,36,88.13,91.56,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,236.000072738189,27,1434,4875.452605962,385,5,60456,4268322,1121663,138841,178047,29985,490.20624,15438.9018706621,153125,216965,272909,479695,156,361843,615211,60841,10073.2430247001,2692144,38,44.7,82.42,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,275.264747260996,27,1978,4427.93722257,457,4,46326,5212749,1076678,123408,484861,45351,288.19054,19064.9881227701,187568,315593,274393,494671,811,353718,611474,46783,14348.8603602001,2776892,24,82.11,93.71,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,279.928518003949,28,2746,8518.29468530199,1891,0,32775,3908337,1105473,93151,73026,8725,252.80041,19711.644938002,137087,187714,205905,353008,97,297018,486846,34666,10940.5498427,2017414,44,52.57,86.72,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,236.2026124447,42,5893,9195.951616412,1004,0,64533,13123206,1131053,60016,744604,40176,821.7819,41015.0889249116,312138,438182,380946,673221,1840,444268,757612,65537,30997.3554084996,9433243,48,22.33,94.54,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,274.080624255331,46,205,701.679766326,69,0,5906,1142257,85512,4346,7912,484,113.11871,3945.50359252622,24824,33611,31818,50950,144,37031,57289,5975,3130.70511620022,844518,53,4.98,98.24,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.836145738284,36,1578,3123.527469582,1643,0,25056,2797947,1033966,72416,60088,3337,219.87229,11061.148924182,77374,99327,126218,201535,295,170257,262592,26699,7717.74916459995,1575874,45,45.5,90.09,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,251.35864406051,32,3696,6502.448994266,304,3,54781,9027335,1966056,200645,260093,22370,589.77979,29783.2156350658,279838,481178,378889,730959,416,457720,849641,55085,22690.9868507998,5099862,32,27.02,89.82,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.725375678212,41,1897,4338.2746947,261,4,46826,5478931,1023738,78642,68454,5397,645.14761,19925.8574576,130897,204967,188694,354443,2000,247299,455998,47087,14942.4351529,3515613,36,39.84,96.47,100,NA
2025-2026,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,3591201,277.217972832998,32,2280,5126.668134458,425,2,45301,3772960,502607,65097,214238,25197,346.09736,15932.0887222579,115173,196031,215389,410263,404,284514,528357,45726,10459.3232277999,2040993,57,41.49,88.12,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,236.203656382597,42,5893,9195.951616412,1004,0,64525,13123148,1131053,60016,744604,40176,821.7819,41015.0889249117,312138,438182,380946,673220,1840,444268,757611,65529,30997.3554084997,9433223,48,22.33,94.55,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,242.451067995107,28,1464,5037.158607355,386,4,60822,4511060,1181064,138919,186726,30002,490.20624,16464.4779952551,155876,221473,273121,480084,292,361951,615398,61208,10937.1131479001,2846814,38,44.7,82.92,100,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,289.420196174258,40,3998,5080.012239435,294,1,85706,7737600,145874,9926,7124175,420998,417.49832,27891.6876586144,188994,327662,233975,459896,7326,257822,494943,86000,22394.1770991794,4058448,84,67.76,81.62,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.274987131777,36,3004,4312.102564118,799,4,48229,8411023,2781426,205679,899637,54165,274.54986,28076.5358250188,227421,363054,320308,597986,1724,383992,694594,49028,23489.8834009008,4916520,39,38.69,93.84,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,276.050892797277,29,1910,2841.619129016,1905,1,48500,4611562,1515863,140244,172494,15374,212.78666,15784.6638619159,158658,269678,215743,401819,434,275187,487106,50405,12730.2580728999,2486234,19,79.04,93.97,100,NA
